tweet_text;Sentiment
Kemenkes mencatat tambahan kasus baru diduga hepatitis akut misterius. Total menjadi 20 kasus, 4 orang meninggal, dua di antaranya probable. https://t.co/idv23SW4Tb;positive
Kasus Dugaan Hepatitis Akut Misterius di RI Bertambah Jadi 20 https://t.co/en3Cmc0zb5;negative
Pentingnya Edukasi Masyarakat Cegah Hepatitis Akut Misterius, Jangan Sampai Anak-Anak Terpapar* https://t.co/VB8h754SDj;negative
"RT @DokterTifa: Katanya Vaksin bs  dibuat hanya dlm 6 bulan! Vaksin tercanggih yg bahkan tdk ada virus di dlmnya!

Tapi  berbulan2 penyebab…";negative
"RT @DokterTifa: Katanya Vaksin bs  dibuat hanya dlm 6 bulan! Vaksin tercanggih yg bahkan tdk ada virus di dlmnya!

Tapi  berbulan2 penyebab…";positive
Pesan Puan Maharani untuk Orang Tua Terkait Merebaknya Hepatitis Akut Misterius https://t.co/b3kAZ3Mxmb Puan PM;positive
"Setidaknya 650 anak telah didiagnosis dengan infeksi #hepatitismisterius dan parah sejak awal April, menurut Organisasi Kesehatan Dunia.

https://t.co/b5r2XPBEz1";negative
"RT @DokterTifa: Katanya Vaksin bs  dibuat hanya dlm 6 bulan! Vaksin tercanggih yg bahkan tdk ada virus di dlmnya!

Tapi  berbulan2 penyebab…";negative
"RT @DokterTifa: Silakan simak,
Sebab Hepatitis Misterius sudah jelas. Jadi tidak misterius2 amat. 

WHO sebut misterius karena penyebabnya…";positive
Jangan menunda-nunda, jadi sekarang kita dorong supaya masyarakat menyadari gejala ini. https://t.co/I4pHQOC86R;positive
"RT @DokterTifa: Silakan simak,
Sebab Hepatitis Misterius sudah jelas. Jadi tidak misterius2 amat. 

WHO sebut misterius karena penyebabnya…";negative
RT @pikiran_rakyat: Kasus Suspek Hepatitis Misterius Bertambah di Jakbar, Masyarakat Diimbau Jangan Jajan Sembarangan https://t.co/CMgfIPss…;positive
Kasus Suspek Hepatitis Misterius Bertambah di Jakbar, Masyarakat Diimbau Jangan Jajan Sembarangan https://t.co/CMgfIPssXN;positive
RT @detikcom: Kemenkes mencatat tambahan kasus baru diduga hepatitis akut misterius. Total menjadi 20 kasus, 4 orang meninggal, dua di anta…;negative
"RT @DokterTifa: Katanya Vaksin bs  dibuat hanya dlm 6 bulan! Vaksin tercanggih yg bahkan tdk ada virus di dlmnya!

Tapi  berbulan2 penyebab…";positive
Dua dari tiga pasien suspek hepatitis akut misterius di Jakarta Barat yang sudah sembuh sempat mengalami gejala mual dan masalah pencernaan. https://t.co/h7feRpj7rh;positive
"Tercatat 45 Kasus Hepatitis Akut Misterius di DKI, 4 Pasien di Jakbar Masih Dirawat
 
https://t.co/wTuz1fjo8U lewat @wartakotalive 
#HepatitisMisterius #Hepatitis";negative
RT @detikcom: Kemenkes mencatat tambahan kasus baru diduga hepatitis akut misterius. Total menjadi 20 kasus, 4 orang meninggal, dua di anta…;positive
"RT @DokterTifa: Silakan simak,
Sebab Hepatitis Misterius sudah jelas. Jadi tidak misterius2 amat. 

WHO sebut misterius karena penyebabnya…";positive
"RT @DokterTifa: Katanya Vaksin bs  dibuat hanya dlm 6 bulan! Vaksin tercanggih yg bahkan tdk ada virus di dlmnya!

Tapi  berbulan2 penyebab…";positive
RT @detikcom: Belum kelar dengan COVID-19 dan hepatitis misterius, kini dunia dihebohkan dengan ancaman virus hendra. Apa sih itu virus hen…;positive
RT @chatnews_id: Setidaknya 650 anak telah didiagnosis dengan infeksi #hepatitismisterius dan parah sejak awal April, menurut Organisasi Ke…;negative
"RT @DokterTifa: Silakan simak,
Sebab Hepatitis Misterius sudah jelas. Jadi tidak misterius2 amat. 

WHO sebut misterius karena penyebabnya…";positive
"RT @DokterTifa: Silakan simak,
Sebab Hepatitis Misterius sudah jelas. Jadi tidak misterius2 amat. 

WHO sebut misterius karena penyebabnya…";positive
RT @detikcom: Kemenkes mencatat tambahan kasus baru diduga hepatitis akut misterius. Total menjadi 20 kasus, 4 orang meninggal, dua di anta…;positive
RT @detikcom: Kemenkes mencatat tambahan kasus baru diduga hepatitis akut misterius. Total menjadi 20 kasus, 4 orang meninggal, dua di anta…;positive
RT @detikcom: Kemenkes mencatat tambahan kasus baru diduga hepatitis akut misterius. Total menjadi 20 kasus, 4 orang meninggal, dua di anta…;positive
"RT @DokterTifa: Katanya Vaksin bs  dibuat hanya dlm 6 bulan! Vaksin tercanggih yg bahkan tdk ada virus di dlmnya!

Tapi  berbulan2 penyebab…";positive
Suspect Hepatitis Misterius Bertambah di Jakbar, Dinas Kesehatan: Gejalanya Rata-Rata Demam https://t.co/86gVkZoMdW;positive
"RT @DokterTifa: Silakan simak,
Sebab Hepatitis Misterius sudah jelas. Jadi tidak misterius2 amat. 

WHO sebut misterius karena penyebabnya…";negative
RT @ProfesorZubairi: Covid-19, hepatitis misterius, dan kini ada lagi virus Hendra (HeV)—yang menyebabkan penyakit parah pada kuda dan juga…;positive
RT @detikcom: Kemenkes mencatat tambahan kasus baru diduga hepatitis akut misterius. Total menjadi 20 kasus, 4 orang meninggal, dua di anta…;negative
"RT @DokterTifa: Katanya Vaksin bs  dibuat hanya dlm 6 bulan! Vaksin tercanggih yg bahkan tdk ada virus di dlmnya!

Tapi  berbulan2 penyebab…";positive
